Major_past,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Unemployement_rate_percentage,P25th,Median,P75th,Avg_P25th,Avg_Median,Avg_P75th,Avg_total,Avg_employed,Avg_employed_ft,Avg_unemployed
MISCELLANEOUS PSYCHOLOGY,Miscellaneous psychology,Psychology & Social Work,34102,23921,15688,2137,0.082009364,8.20,30000,45000,70000,31011,44556,64333,220809,156887,110365,11578
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Industrial and organizational psychology,Psychology & Social Work,17969,11878,8631,1084,0.08362907,8.36,40000,62000,84000,31011,44556,64333,220809,156887,110365,11578
COUNSELING PSYCHOLOGY,Counseling psychology,Psychology & Social Work,17633,13071,8888,954,0.06802139,6.80,25000,39000,50000,31011,44556,64333,220809,156887,110365,11578
EDUCATIONAL PSYCHOLOGY,Educational psychology,Psychology & Social Work,14041,8751,5763,716,0.07563114,7.56,33000,40000,70000,31011,44556,64333,220809,156887,110365,11578
SOCIAL PSYCHOLOGY,Social psychology,Psychology & Social Work,10871,6897,5226,660,0.087336245,8.73,35000,47000,70000,31011,44556,64333,220809,156887,110365,11578
CLINICAL PSYCHOLOGY,Clinical psychology,Psychology & Social Work,7638,5128,3297,587,0.102712161,10.27,26100,45000,62000,31011,44556,64333,220809,156887,110365,11578
ECONOMICS,Economics,Social Science,757616,535446,430580,34974,0.061312717,6.13,42000,69000,110000,37144,53222,81222,294903,207978,160038,14683
POLITICAL SCIENCE AND GOVERNMENT,Political science and government,Social Science,748956,541630,421761,40376,0.069373855,6.94,38000,58000,90000,37144,53222,81222,294903,207978,160038,14683
SOCIOLOGY,Sociology,Social Science,674558,459174,336515,32344,0.065804304,6.58,33000,47000,70000,37144,53222,81222,294903,207978,160038,14683
GENERAL SOCIAL SCIENCES,General social sciences,Social Science,127363,80165,57036,6132,0.071056931,7.11,35000,50000,75000,37144,53222,81222,294903,207978,160038,14683
GEOGRAPHY,Geography,Social Science,115423,83671,63070,6202,0.06900849,6.90,38300,54000,78000,37144,53222,81222,294903,207978,160038,14683
INTERNATIONAL RELATIONS,International relations,Social Science,77371,56564,42091,4278,0.07031327,7.03,40000,55000,89000,37144,53222,81222,294903,207978,160038,14683
CRIMINOLOGY,Criminology,Social Science,75085,59534,48763,4106,0.06451917,6.45,35000,49000,72000,37144,53222,81222,294903,207978,160038,14683
INTERDISCIPLINARY SOCIAL SCIENCES,Interdisciplinary social sciences,Social Science,61871,43312,31078,3030,0.065383453,6.54,33000,45000,67000,37144,53222,81222,294903,207978,160038,14683
MISCELLANEOUS SOCIAL SCIENCES,Miscellaneous social sciences,Social Science,15882,12307,9444,708,0.054398771,5.44,40000,52000,80000,37144,53222,81222,294903,207978,160038,14683
